,Time,Score
0,20 hours ago,5
1,a day ago,5
2,2 days ago,1
3,2 days ago,5
4,a week ago,4
5,a week ago,3
6,a week ago,3
7,a week ago,5
8,a week ago,5
9,a week ago,5
10,a week ago,4
11,a week ago,5
12,2 weeks ago,5
13,2 weeks ago,5
14,3 weeks ago,4
15,3 weeks ago,5
16,a month ago,5
17,a month ago,4
18,a month ago,5
19,a month ago,4
20,a month ago,4
21,a month ago,5
22,a month ago,5
23,a month ago,5
24,a month ago,5
25,a month ago,4
26,2 months ago,5
27,2 months ago,5
28,2 months ago,3
29,2 months ago,5
30,2 months ago,5
31,2 months ago,5
32,2 months ago,5
33,3 months ago,5
34,3 months ago,5
35,3 months ago,5
36,4 months ago,5
37,4 months ago,5
38,4 months ago,5
39,4 months ago,5
40,4 months ago,5
41,4 months ago,5
42,4 months ago,5
43,4 months ago,5
44,4 months ago,5
45,5 months ago,4
46,5 months ago,5
47,5 months ago,1
48,6 months ago,5
49,6 months ago,5
50,6 months ago,5
51,6 months ago,5
52,6 months ago,5
53,6 months ago,4
54,6 months ago,5
55,6 months ago,5
56,6 months ago,4
57,6 months ago,5
58,6 months ago,5
59,7 months ago,4
60,7 months ago,2
61,7 months ago,5
62,7 months ago,5
63,7 months ago,4
64,7 months ago,4
65,7 months ago,5
66,7 months ago,4
67,7 months ago,4
68,7 months ago,5
69,7 months ago,5
70,7 months ago,5
71,7 months ago,4
72,7 months ago,5
73,7 months ago,5
74,7 months ago,5
75,7 months ago,1
76,7 months ago,5
77,8 months ago,4
78,8 months ago,5
79,8 months ago,4
80,8 months ago,5
81,9 months ago,5
82,9 months ago,4
83,9 months ago,5
84,9 months ago,5
85,9 months ago,4
86,9 months ago,5
87,9 months ago,4
88,9 months ago,5
89,9 months ago,5
90,9 months ago,5
91,10 months ago,4
92,10 months ago,5
93,10 months ago,5
94,10 months ago,4
95,10 months ago,5
96,10 months ago,5
97,10 months ago,5
98,10 months ago,4
99,10 months ago,5
100,11 months ago,5
101,11 months ago,4
102,11 months ago,5
103,11 months ago,5
104,11 months ago,5
105,11 months ago,5
106,11 months ago,5
107,11 months ago,3
108,11 months ago,5
109,11 months ago,5
110,11 months ago,5
111,a year ago,4
112,a year ago,5
113,a year ago,5
114,a year ago,5
115,a year ago,3
116,a year ago,5
117,a year ago,3
118,a year ago,5
119,a year ago,5
120,a year ago,5
121,a year ago,5
122,a year ago,5
123,a year ago,4
124,a year ago,5
125,a year ago,4
126,a year ago,4
127,a year ago,5
128,a year ago,5
129,a year ago,5
130,a year ago,5
131,a year ago,5
132,a year ago,5
133,a year ago,3
134,a year ago,5
135,a year ago,5
136,a year ago,5
137,a year ago,5
138,a year ago,5
139,a year ago,5
140,a year ago,5
141,a year ago,5
142,a year ago,5
143,a year ago,3
144,a year ago,5
145,a year ago,5
146,a year ago,5
147,a year ago,5
148,a year ago,4
149,a year ago,5
150,a year ago,5
151,a year ago,5
152,a year ago,5
153,a year ago,5
154,a year ago,3
155,a year ago,5
156,a year ago,4
157,a year ago,5
158,a year ago,3
159,a year ago,4
160,a year ago,5
161,a year ago,5
162,a year ago,3
163,a year ago,5
164,a year ago,5
165,a year ago,5
166,a year ago,5
167,a year ago,4
168,a year ago,4
169,a year ago,5
170,a year ago,2
171,a year ago,4
172,a year ago,5
173,a year ago,5
174,a year ago,5
175,a year ago,4
176,a year ago,5
177,a year ago,5
178,a year ago,5
179,a year ago,5
180,a year ago,4
181,a year ago,5
182,a year ago,5
183,a year ago,3
184,a year ago,5
185,a year ago,4
186,a year ago,5
187,a year ago,5
188,a year ago,5
189,a year ago,4
190,a year ago,5
191,a year ago,5
192,a year ago,5
193,a year ago,5
194,a year ago,4
195,a year ago,5
196,a year ago,5
197,a year ago,5
198,a year ago,4
199,a year ago,5
200,a year ago,5
201,a year ago,5
202,a year ago,5
203,a year ago,5
204,a year ago,5
205,a year ago,5
206,a year ago,3
207,a year ago,5
208,a year ago,5
209,2 years ago,5
210,2 years ago,4
211,2 years ago,5
212,2 years ago,5
213,2 years ago,5
214,2 years ago,5
215,2 years ago,5
216,2 years ago,5
217,2 years ago,4
218,2 years ago,5
219,2 years ago,4
220,2 years ago,4
221,2 years ago,5
222,2 years ago,4
223,2 years ago,4
224,2 years ago,5
225,2 years ago,5
226,2 years ago,5
227,2 years ago,5
228,2 years ago,4
229,2 years ago,5
230,2 years ago,5
231,2 years ago,5
232,2 years ago,5
233,2 years ago,4
234,2 years ago,1
235,2 years ago,5
236,2 years ago,5
237,2 years ago,5
238,2 years ago,4
239,2 years ago,5
240,2 years ago,1
241,2 years ago,4
242,2 years ago,5
243,2 years ago,5
244,2 years ago,5
245,2 years ago,5
246,2 years ago,5
247,2 years ago,5
248,2 years ago,5
249,2 years ago,3
250,2 years ago,5
251,2 years ago,5
252,2 years ago,5
253,2 years ago,4
254,2 years ago,5
255,2 years ago,5
256,2 years ago,5
257,2 years ago,4
258,2 years ago,5
259,2 years ago,4
260,2 years ago,5
261,2 years ago,4
262,2 years ago,5
263,2 years ago,4
264,2 years ago,5
265,2 years ago,3
266,2 years ago,5
267,2 years ago,5
268,2 years ago,5
269,2 years ago,5
270,2 years ago,5
271,2 years ago,4
272,2 years ago,5
273,2 years ago,5
274,2 years ago,4
275,2 years ago,5
276,2 years ago,5
277,2 years ago,5
278,2 years ago,5
279,2 years ago,5
280,2 years ago,3
281,2 years ago,5
282,2 years ago,5
283,2 years ago,5
284,2 years ago,5
285,2 years ago,5
286,2 years ago,5
287,2 years ago,5
288,2 years ago,5
289,2 years ago,5
290,2 years ago,5
291,2 years ago,4
292,2 years ago,5
293,2 years ago,5
294,2 years ago,5
295,2 years ago,5
296,2 years ago,5
297,2 years ago,4
298,2 years ago,5
299,2 years ago,4
300,2 years ago,5
301,2 years ago,5
302,2 years ago,5
303,2 years ago,5
304,2 years ago,5
305,2 years ago,5
306,2 years ago,5
307,2 years ago,5
308,2 years ago,5
309,2 years ago,5
310,2 years ago,5
311,2 years ago,5
312,2 years ago,5
313,2 years ago,5
314,2 years ago,5
315,2 years ago,5
316,2 years ago,5
317,2 years ago,5
318,2 years ago,5
319,2 years ago,5
320,2 years ago,5
321,2 years ago,5
322,2 years ago,5
323,2 years ago,5
324,2 years ago,5
325,2 years ago,4
326,2 years ago,5
327,2 years ago,5
328,2 years ago,4
329,2 years ago,5
330,2 years ago,5
331,2 years ago,5
332,2 years ago,5
333,2 years ago,4
334,2 years ago,5
335,2 years ago,5
336,2 years ago,5
337,2 years ago,5
338,2 years ago,4
339,2 years ago,3
340,2 years ago,4
341,2 years ago,5
